id;start_date;end_date;language
1;2020-12-25T09:04:10;2020-12-25T06:54:25;SPANISH
2;2020-12-24T13:54:21;2020-12-25T08:58:46;SPANISH
3;2020-12-25T04:49:40;2020-12-24T15:23:49;FRENCH
4;2020-12-24T20:07:11;2020-12-25T07:38:37;FRENCH
5;2020-12-25T05:37:29;2020-12-25T10:24:28;FRENCH
6;2020-12-24T23:29:50;2020-12-25T11:38:04;FRENCH
7;2020-12-25T01:15:10;2020-12-24T19:06:01;FRENCH
8;2020-12-25T00:11:23;2020-12-25T10:27:31;SPANISH
9;2020-12-24T22:52:32;2020-12-24T19:33:55;SPANISH
10;2020-12-25T07:04:36;2020-12-24T17:39:06;SPANISH
